"type","genotype","N","mean","sd","se","gene"
"234","Cother","wt",3,240.873148624119,383.93924763664,221.667427975477,"Solyc01g049700.2.1"
"235","Ambr","wt",3,0.945733535331548,0.702702680342851,0.405705581656217,"Solyc01g060190.1.1"
"236","Aother","wt",5,2.24245263193808,1.17071319577175,0.523558857580331,"Solyc01g060190.1.1"
"237","Bmbr","wt",4,1.26189294907785,0.978997328807879,0.48949866440394,"Solyc01g060190.1.1"
"238","Bother","wt",4,2.33009933743444,1.45726855252411,0.728634276262055,"Solyc01g060190.1.1"
"239","Cmbr","wt",6,2.27058317486753,1.32261947899835,0.539957141235283,"Solyc01g060190.1.1"
"240","Cother","wt",3,8.78748295186089,12.0656110573774,6.96608379191417,"Solyc01g060190.1.1"
"241","Ambr","wt",3,4.63245347459462,2.79997743042096,1.61656772317842,"Solyc01g067210.2.1"
"242","Aother","wt",5,3.74908584237948,2.19675698531909,0.982419589844198,"Solyc01g067210.2.1"
"243","Bmbr","wt",4,3.83054005093556,2.21926047600857,1.10963023800428,"Solyc01g067210.2.1"
"244","Bother","wt",4,5.73702097839213,2.00388428925521,1.0019421446276,"Solyc01g067210.2.1"
"245","Cmbr","wt",6,3.85402686622941,2.12257086646397,0.866535927622315,"Solyc01g067210.2.1"
"246","Cother","wt",3,14.6500376662494,18.2800408073126,10.5539864808993,"Solyc01g067210.2.1"
"247","Ambr","wt",3,2.92855850644951,1.34958349338196,0.779182393197948,"Solyc01g068250.2.1"
"248","Aother","wt",5,5.16799082445003,4.32791201194897,1.93550109187115,"Solyc01g068250.2.1"
"249","Bmbr","wt",4,9.93447735306997,13.4963319848504,6.74816599242521,"Solyc01g068250.2.1"
"250","Bother","wt",4,7.42401016658657,8.02163423643086,4.01081711821543,"Solyc01g068250.2.1"
"251","Cmbr","wt",6,6.00354747991086,3.07142448204913,1.25390379408542,"Solyc01g068250.2.1"
"252","Cother","wt",3,23.4496770836506,31.9654972551306,18.4552884450299,"Solyc01g068250.2.1"
"253","Ambr","wt",3,0.053437395396054,0.0925562838501127,0.053437395396054,"Solyc01g068490.2.1"
"254","Aother","wt",5,1.63675312885145,1.52158791803832,0.68047480369521,"Solyc01g068490.2.1"
"255","Bmbr","wt",4,4.31623558394088,6.85012929501889,3.42506464750945,"Solyc01g068490.2.1"
"256","Bother","wt",4,1.62541730848801,1.51280368534642,0.756401842673208,"Solyc01g068490.2.1"
"257","Cmbr","wt",6,1.3671205963367,1.39430904653385,0.569224284625744,"Solyc01g068490.2.1"
"258","Cother","wt",3,38.1368651790172,61.1185277472987,35.2867984473765,"Solyc01g068490.2.1"
"259","Ambr","wt",3,0.480936558564483,0.83300655465101,0.480936558564483,"Solyc01g073700.2.1"
"260","Aother","wt",5,20.3040790555664,12.6535840770808,5.65885483107233,"Solyc01g073700.2.1"
"261","Bmbr","wt",4,5.07568709201584,2.80903786749234,1.40451893374617,"Solyc01g073700.2.1"
